name,appearance,original_habitat,modern_location,source_excerpt,source_translation,abilities,symbolism,category,mountain_location,chapter
祝余,状如韭而青华,招揪之山,广西省,有草融，其状如韭而青华，其名日祝余，食之不饥,形状像韭菜，开青色花，吃了不饿,食之不饥,象征不饥,植物,南,山经
迷坑,其状如损而黑理，其华四照,招揪之山,广西省,有木址，其状如损而黑理，其华四照，其名目迷坑，佩之不迷,形状像损木，黑色纹理，花四照，佩戴不迷路,佩之不迷,象征不迷,植物,南,山经
狂狂,其状如昌而白耳，伏行人走,招揪之山,广西省,有兽需，其状如昌而白耳，伏行人走，其名目狂狂，食之善走,形状像昌兽，白耳，伏行如人走，吃了善跑,食之善走,象征善跑,兽类,南,山经
鹿蜀,其状如马而白首，其文如虎而赤尾，其音如谣,要阳之山,广东省;江西省;湖南省,有兽焉，其状如马而白首，其文如虎而赤尾，其音如谣，其名日鹿蜀，修之宜子孙,形状像马，白首，纹如虎，赤尾，声音如歌谣，佩戴宜子孙,修之宜子孙,象征宜子孙,兽类,东,山经
旋怨,其状如龟而鸟首她尾,要阳之山,广东省;江西省;湖南省,其中多玄色，其状如龟而鸟首她尾，甚名目旋怨，其音如判木，佩之不聋，可以为底避,形状像龟，鸟首蛇尾，声音如判木，佩戴不聋，可以避邪,佩之不聋;可以为底避,象征避邪,混合形态或超自然生物,东,山经
钱,其状如牛，陵居，蛇尾有翼，其羽在乓下,检山,四川省,有鱼需，其状如牛，陵居，蛇尾有翼，其羽在乓下，甚音如留牛，其名目钱，冬死而夏生，信之无有痪,形状像牛，陵居，蛇尾有翼，声音如留牛，冬死夏生，信之无病,信之无有痪,象征无病,鱼类与水生生物,东,山经
类,其状如狸而有,坪爱之山,未知,有兽和，其状如狸而有，其名昌类，自为慈特，食者不妒,形状像狸，自为慈特，吃了不妒,食者不妒,象征不妒,兽类,东,山经
昌肯俏,状如鸡，三首六目，六足三翼,青丘之山,山东省,有鸟希，其状如鸡而三首六目，六足三可，其名昌肯俏,有鸟像鸡，三头六眼，六脚三翼,食之无卧,未知,鸟类,东,山经
九尾狐,状如狐而九尾，音如婴儿,青丘之山,山东省,有兽盐，其状如狐而九尾，其音如婴儿,有兽像狐，九尾，声音像婴儿,能食人;食者不串,长寿象征;魅惑之力,兽类,东,山经
灌灌,状如鸠,青丘之山,山东省,有岛看，其状如鸠，甚音车呵，名昌灌灌,有鸟像鸠，声音奇特,佩之不惑,未知,鸟类,东,山经
赤锯,状如鱼而人面，音如锣几,即辟之泽,四川省;云南省,其中多赤锯，其状如鱼而人面，其音如锣几,有鱼像人面，声音像锣,食之不病,未知,鱼类与水生生物,南,山经
神状尼鸟身龙首,鸟身龙首,南山,湖南省;广东省,其神状尼鸟身而龙首,神像鸟身龙首,未知,未知,混合形态或超自然生物,南,山经
猩猩,人面兽身,未知,山东省,有兽人面，名昌狂狂,有兽人面，名昌狂狂,未知,未知,兽类,未知,未知
虹虫,色如绥文，鼻上有针,未知,未知,盎虫，色如绥文，鼻上有针，大者百余厅，一名反鼻,色如绥文，鼻上有针，大者百余斤,未知,未知,未知,未知,未知
